date,state,unemployment_rate
1990-01-01,AK,7.2
1990-01-01,AL,6.7
1990-01-01,AR,6.7
1990-01-01,AZ,5.0
1990-01-01,CA,5.2
1990-01-01,CO,5.2
1990-01-01,CT,4.4
1990-01-01,DE,3.5
1990-01-01,GA,5.2
1990-01-01,HI,2.6
1990-01-01,IA,4.4
1990-01-01,ID,5.3
1990-01-01,IL,6.3
1990-01-01,IN,5.1
1990-01-01,KS,4.1
1990-01-01,KY,5.8
1990-01-01,LA,6.1
1990-01-01,MA,5.2
1990-01-01,MD,3.7
1990-01-01,ME,4.5
1990-01-01,MI,7.7
1990-01-01,MN,4.5
1990-01-01,MS,7.5
1990-02-01,AK,7.2
1990-02-01,AL,6.7
1990-02-01,AR,6.7
1990-02-01,AZ,5.2
1990-02-01,CA,5.2
1990-02-01,CO,5.1
1990-02-01,CT,4.5
1990-02-01,DE,3.5
1990-02-01,GA,5.1
1990-02-01,HI,2.7
1990-02-01,IA,4.3
1990-02-01,ID,5.3
1990-02-01,IL,6.2
1990-02-01,IN,5.1
1990-02-01,KS,4.0
1990-02-01,KY,5.8
1990-02-01,LA,6.0
1990-02-01,MA,5.4
1990-02-01,MD,3.7
1990-02-01,ME,4.5
1990-02-01,MI,7.6
1990-02-01,MN,4.6
1990-02-01,MS,7.4
1990-03-01,AK,7.2
1990-03-01,AL,6.7
1990-03-01,AR,6.7
1990-03-01,AZ,5.3
1990-03-01,CA,5.2
1990-03-01,CO,5.1
1990-03-01,CT,4.6
1990-03-01,DE,3.4
1990-03-01,GA,5.1
1990-03-01,HI,2.7
1990-03-01,IA,4.3
1990-03-01,ID,5.3
1990-03-01,IL,6.2
1990-03-01,IN,5.1
1990-03-01,KS,4.0
1990-03-01,KY,5.7
1990-03-01,LA,5.9
1990-03-01,MA,5.6
1990-03-01,MD,3.8
1990-03-01,ME,4.5
1990-03-01,MI,7.5
1990-03-01,MN,4.5
1990-03-01,MS,7.3
1990-04-01,AK,7.2
1990-04-01,AL,6.7
1990-04-01,AR,6.7
1990-04-01,AZ,5.4
1990-04-01,CA,5.3
1990-04-01,CO,5.1
1990-04-01,CT,4.7
1990-04-01,DE,3.4
1990-04-01,GA,5.1
1990-04-01,HI,2.7
1990-04-01,IA,4.3
1990-04-01,ID,5.4
1990-04-01,IL,6.1
1990-04-01,IN,5.0
1990-04-01,KS,4.0
1990-04-01,KY,5.7
1990-04-01,LA,5.9
1990-04-01,MA,5.8
1990-04-01,MD,3.9
1990-04-01,ME,4.6
1990-04-01,MI,7.4
1990-04-01,MN,4.5
1990-04-01,MS,7.3
1990-05-01,AK,7.2
1990-05-01,AL,6.7
1990-05-01,AR,6.7
1990-05-01,AZ,5.4
1990-05-01,CA,5.4
1990-05-01,CO,5.1
1990-05-01,CT,4.7
1990-05-01,DE,3.5
1990-05-01,GA,5.2
1990-05-01,HI,2.7
1990-05-01,IA,4.3
1990-05-01,ID,5.4
1990-05-01,IL,6.2
1990-05-01,IN,5.0
1990-05-01,KS,4.1
1990-05-01,KY,5.8
1990-05-01,LA,5.9
1990-05-01,MA,5.9
1990-05-01,MD,4.0
1990-05-01,ME,4.7
1990-05-01,MI,7.4
1990-05-01,MN,4.6
1990-05-01,MS,7.2
1990-06-01,AK,7.2
1990-06-01,AL,6.7
1990-06-01,AR,6.7
1990-06-01,AZ,5.4
1990-06-01,CA,5.5
1990-06-01,CO,5.2
1990-06-01,CT,4.8
1990-06-01,DE,3.6
1990-06-01,GA,5.3
1990-06-01,HI,2.7
1990-06-01,IA,4.3
1990-06-01,ID,5.5
1990-06-01,IL,6.2
1990-06-01,IN,5.0
1990-06-01,KS,4.1
1990-06-01,KY,5.8
1990-06-01,LA,6.0
1990-06-01,MA,6.1
