date,state,unemployment_rate,national_unemployment_rate,federal_funds_rate,manufacturing_employment_share,labor_force_participation_rate,inflation_cpi,recession_indicator,treasury_10y_yield,unemployment_yoy_change,fed_rate_change,unemployment_lagged_1mo,fed_rate_lagged_1mo,unemployment_volatility_12mo
1990-01-01,AK,7.2,5.4,8.23,,66.8,127.5,0.0,,,,,,
1990-01-01,AL,6.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,AR,6.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,AZ,5.0,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,CA,5.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,CO,5.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,CT,4.4,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,DE,3.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,GA,5.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.0
1990-01-01,HI,2.6,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.03162277660168371
1990-01-01,IA,4.4,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.06466697906828636
1990-01-01,ID,5.3,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.09999999999999999
1990-01-01,IL,6.3,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.1403458930534473
1990-01-01,IN,5.1,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.18153386861559864
1990-01-01,KS,4.1,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.24058010698889432
1990-01-01,KY,5.8,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.2907670107585358
1990-01-01,LA,6.1,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.3333712099692526
1990-01-01,MA,5.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.3833662699947622
1990-01-01,MD,3.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.40554863699647287
1990-01-01,ME,4.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.430292360089643
