date,state,unemployment_rate,national_unemployment_rate,federal_funds_rate
1990-01-01,AK,7.2,5.4,8.23
1990-01-01,AL,6.7,5.4,8.23
1990-01-01,AR,6.7,5.4,8.23
1990-01-01,AZ,5.0,5.4,8.23
1990-01-01,CA,5.2,5.4,8.23
1990-01-01,CO,5.2,5.4,8.23
1990-01-01,CT,4.4,5.4,8.23
1990-01-01,DE,3.5,5.4,8.23
1990-01-01,GA,5.2,5.4,8.23
1990-01-01,HI,2.6,5.4,8.23
1990-01-01,IA,4.4,5.4,8.23
1990-01-01,ID,5.3,5.4,8.23
1990-01-01,IL,6.3,5.4,8.23
1990-01-01,IN,5.1,5.4,8.23
1990-01-01,KS,4.1,5.4,8.23
1990-01-01,KY,5.8,5.4,8.23
1990-01-01,LA,6.1,5.4,8.23
1990-01-01,MA,5.2,5.4,8.23
1990-01-01,MD,3.7,5.4,8.23
1990-01-01,ME,4.5,5.4,8.23
1990-01-01,MI,7.7,5.4,8.23
1990-01-01,MN,4.5,5.4,8.23
1990-01-01,MO,5.6,5.4,8.23
1990-01-01,MS,7.5,5.4,8.23
1990-01-01,MT,5.7,5.4,8.23
1990-01-01,NC,3.5,5.4,8.23
1990-01-01,ND,4.2,5.4,8.23
1990-01-01,NH,4.4,5.4,8.23
1990-01-01,NJ,4.5,5.4,8.23
1990-01-01,NM,6.7,5.4,8.23
1990-01-01,NV,4.5,5.4,8.23
1990-01-01,NY,5.2,5.4,8.23
1990-01-01,OH,5.9,5.4,8.23
1990-01-01,OK,5.4,5.4,8.23
1990-01-01,OR,5.1,5.4,8.23
1990-01-01,PA,5.2,5.4,8.23
1990-01-01,RI,5.4,5.4,8.23
1990-01-01,SC,4.7,5.4,8.23
1990-01-01,SD,3.7,5.4,8.23
1990-01-01,TN,5.0,5.4,8.23
1990-01-01,TX,6.3,5.4,8.23
1990-01-01,UT,4.5,5.4,8.23
1990-01-01,VA,3.9,5.4,8.23
1990-01-01,VT,4.1,5.4,8.23
1990-01-01,WA,5.4,5.4,8.23
1990-01-01,WI,4.2,5.4,8.23
1990-01-01,WV,8.1,5.4,8.23
1990-01-01,WY,5.5,5.4,8.23
1990-02-01,AK,7.2,5.3,8.24
1990-02-01,AL,6.7,5.3,8.24
1990-02-01,AR,6.7,5.3,8.24
1990-02-01,AZ,5.2,5.3,8.24
1990-02-01,CA,5.2,5.3,8.24
1990-02-01,CO,5.1,5.3,8.24
1990-02-01,CT,4.5,5.3,8.24
1990-02-01,DE,3.5,5.3,8.24
1990-02-01,GA,5.1,5.3,8.24
1990-02-01,HI,2.7,5.3,8.24
1990-02-01,IA,4.3,5.3,8.24
1990-02-01,ID,5.3,5.3,8.24
1990-02-01,IL,6.2,5.3,8.24
1990-02-01,IN,5.1,5.3,8.24
1990-02-01,KS,4.0,5.3,8.24
1990-02-01,KY,5.8,5.3,8.24
1990-02-01,LA,6.0,5.3,8.24
1990-02-01,MA,5.4,5.3,8.24
1990-02-01,MD,3.7,5.3,8.24
1990-02-01,ME,4.5,5.3,8.24
1990-02-01,MI,7.6,5.3,8.24
1990-02-01,MN,4.6,5.3,8.24
1990-02-01,MO,5.6,5.3,8.24
1990-02-01,MS,7.4,5.3,8.24
1990-02-01,MT,5.7,5.3,8.24
1990-02-01,NC,3.5,5.3,8.24
1990-02-01,ND,4.2,5.3,8.24
1990-02-01,NH,4.6,5.3,8.24
1990-02-01,NJ,4.6,5.3,8.24
1990-02-01,NM,6.6,5.3,8.24
1990-02-01,NV,4.5,5.3,8.24
1990-02-01,NY,5.1,5.3,8.24
1990-02-01,OH,5.8,5.3,8.24
1990-02-01,OK,5.3,5.3,8.24
1990-02-01,OR,5.1,5.3,8.24
1990-02-01,PA,5.2,5.3,8.24
1990-02-01,RI,5.6,5.3,8.24
1990-02-01,SC,4.7,5.3,8.24
1990-02-01,SD,3.7,5.3,8.24
1990-02-01,TN,5.0,5.3,8.24
1990-02-01,TX,6.3,5.3,8.24
1990-02-01,UT,4.4,5.3,8.24
1990-02-01,VA,3.9,5.3,8.24
1990-02-01,VT,4.2,5.3,8.24
1990-02-01,WA,5.2,5.3,8.24
1990-02-01,WI,4.2,5.3,8.24
1990-02-01,WV,8.0,5.3,8.24
1990-02-01,WY,5.4,5.3,8.24
1990-03-01,AK,7.2,5.2,8.28
1990-03-01,AL,6.7,5.2,8.28
1990-03-01,AR,6.7,5.2,8.28
1990-03-01,AZ,5.3,5.2,8.28
1990-03-01,CA,5.2,5.2,8.28
1990-03-01,CO,5.1,5.2,8.28
1990-03-01,CT,4.6,5.2,8.28
1990-03-01,DE,3.4,5.2,8.28
1990-03-01,GA,5.1,5.2,8.28
1990-03-01,HI,2.7,5.2,8.28
1990-03-01,IA,4.3,5.2,8.28
1990-03-01,ID,5.3,5.2,8.28
1990-03-01,IL,6.2,5.2,8.28
1990-03-01,IN,5.1,5.2,8.28
1990-03-01,KS,4.0,5.2,8.28
1990-03-01,KY,5.7,5.2,8.28
1990-03-01,LA,5.9,5.2,8.28
1990-03-01,MA,5.6,5.2,8.28
1990-03-01,MD,3.8,5.2,8.28
1990-03-01,ME,4.5,5.2,8.28
1990-03-01,MI,7.5,5.2,8.28
1990-03-01,MN,4.5,5.2,8.28
1990-03-01,MO,5.5,5.2,8.28
1990-03-01,MS,7.3,5.2,8.28
1990-03-01,MT,5.6,5.2,8.28
1990-03-01,NC,3.6,5.2,8.28
1990-03-01,ND,4.1,5.2,8.28
1990-03-01,NH,4.7,5.2,8.28
1990-03-01,NJ,4.6,5.2,8.28
1990-03-01,NM,6.5,5.2,8.28
1990-03-01,NV,4.5,5.2,8.28
1990-03-01,NY,5.1,5.2,8.28
1990-03-01,OH,5.7,5.2,8.28
1990-03-01,OK,5.2,5.2,8.28
1990-03-01,OR,5.0,5.2,8.28
1990-03-01,PA,5.2,5.2,8.28
1990-03-01,RI,5.7,5.2,8.28
1990-03-01,SC,4.6,5.2,8.28
1990-03-01,SD,3.6,5.2,8.28
1990-03-01,TN,5.0,5.2,8.28
1990-03-01,TX,6.2,5.2,8.28
1990-03-01,UT,4.4,5.2,8.28
1990-03-01,VA,3.9,5.2,8.28
1990-03-01,VT,4.3,5.2,8.28
1990-03-01,WA,5.1,5.2,8.28
1990-03-01,WI,4.1,5.2,8.28
1990-03-01,WV,8.0,5.2,8.28
1990-03-01,WY,5.2,5.2,8.28
1990-04-01,AK,7.2,5.4,8.26
1990-04-01,AL,6.7,5.4,8.26
1990-04-01,AR,6.7,5.4,8.26
1990-04-01,AZ,5.4,5.4,8.26
1990-04-01,CA,5.3,5.4,8.26
1990-04-01,CO,5.1,5.4,8.26
1990-04-01,CT,4.7,5.4,8.26
1990-04-01,DE,3.4,5.4,8.26
1990-04-01,GA,5.1,5.4,8.26
1990-04-01,HI,2.7,5.4,8.26
1990-04-01,IA,4.3,5.4,8.26
1990-04-01,ID,5.4,5.4,8.26
1990-04-01,IL,6.1,5.4,8.26
1990-04-01,IN,5.0,5.4,8.26
1990-04-01,KS,4.0,5.4,8.26
1990-04-01,KY,5.7,5.4,8.26
1990-04-01,LA,5.9,5.4,8.26
1990-04-01,MA,5.8,5.4,8.26
1990-04-01,MD,3.9,5.4,8.26
