date,average_hourly_earnings
2006-03-01,20.04
2006-04-01,20.17
2006-05-01,20.13
2006-06-01,20.22
2006-07-01,20.29
2006-08-01,20.32
2006-09-01,20.4
2006-10-01,20.42
2006-11-01,20.49
2006-12-01,20.58
2007-01-01,20.59
2007-02-01,20.68
2007-03-01,20.72
2007-04-01,20.79
2007-05-01,20.84
2007-06-01,20.95
2007-07-01,20.94
2007-08-01,21.0
2007-09-01,21.04
2007-10-01,21.06
2007-11-01,21.12
2007-12-01,21.16
2008-01-01,21.19
2008-02-01,21.27
2008-03-01,21.36
2008-04-01,21.38
2008-05-01,21.47
2008-06-01,21.52
2008-07-01,21.6
2008-08-01,21.7
2008-09-01,21.73
2008-10-01,21.76
2008-11-01,21.86
2008-12-01,21.95
2009-01-01,21.96
2009-02-01,21.98
2009-03-01,22.05
2009-04-01,22.1
2009-05-01,22.12
2009-06-01,22.14
2009-07-01,22.18
2009-08-01,22.23
2009-09-01,22.27
2009-10-01,22.31
2009-11-01,22.34
2009-12-01,22.37
