date,civilian_labor_force
1990-01-01,125833.0
1990-02-01,125710.0
1990-03-01,125801.0
1990-04-01,125649.0
1990-05-01,125893.0
1990-06-01,125573.0
1990-07-01,125732.0
1990-08-01,125990.0
1990-09-01,125892.0
1990-10-01,125995.0
1990-11-01,126070.0
1990-12-01,126142.0
1991-01-01,125955.0
1991-02-01,126020.0
1991-03-01,126238.0
1991-04-01,126548.0
1991-05-01,126176.0
1991-06-01,126331.0
1991-07-01,126154.0
1991-08-01,126150.0
1991-09-01,126650.0
1991-10-01,126642.0
1991-11-01,126701.0
1991-12-01,126664.0
1992-01-01,127261.0
1992-02-01,127207.0
1992-03-01,127604.0
1992-04-01,127841.0
1992-05-01,128119.0
1992-06-01,128459.0
1992-07-01,128563.0
1992-08-01,128613.0
1992-09-01,128501.0
1992-10-01,128026.0
1992-11-01,128441.0
1992-12-01,128554.0
1993-01-01,128400.0
1993-02-01,128458.0
1993-03-01,128598.0
1993-04-01,128584.0
1993-05-01,129264.0
1993-06-01,129411.0
1993-07-01,129397.0
1993-08-01,129619.0
1993-09-01,129268.0
1993-10-01,129573.0
1993-11-01,129711.0
1993-12-01,129941.0
1994-01-01,130596.0
1994-02-01,130669.0
1994-03-01,130400.0
1994-04-01,130621.0
1994-05-01,130779.0
1994-06-01,130561.0
1994-07-01,130652.0
1994-08-01,131275.0
1994-09-01,131421.0
1994-10-01,131744.0
1994-11-01,131891.0
1994-12-01,131951.0
1995-01-01,132038.0
1995-02-01,132115.0
1995-03-01,132108.0
1995-04-01,132590.0
1995-05-01,131851.0
1995-06-01,131949.0
1995-07-01,132343.0
1995-08-01,132336.0
1995-09-01,132611.0
1995-10-01,132716.0
1995-11-01,132614.0
1995-12-01,132511.0
1996-01-01,132616.0
1996-02-01,132952.0
1996-03-01,133180.0
1996-04-01,133409.0
1996-05-01,133667.0
1996-06-01,133697.0
1996-07-01,134284.0
1996-08-01,134054.0
1996-09-01,134515.0
1996-10-01,134921.0
1996-11-01,135007.0
1996-12-01,135113.0
1997-01-01,135456.0
1997-02-01,135400.0
1997-03-01,135891.0
1997-04-01,136016.0
1997-05-01,136119.0
1997-06-01,136211.0
1997-07-01,136477.0
1997-08-01,136618.0
1997-09-01,136675.0
1997-10-01,136633.0
1997-11-01,136961.0
1997-12-01,137155.0
1998-01-01,137095.0
1998-02-01,137112.0
1998-03-01,137236.0
1998-04-01,137150.0
1998-05-01,137372.0
1998-06-01,137455.0
1998-07-01,137588.0
1998-08-01,137570.0
1998-09-01,138286.0
1998-10-01,138279.0
1998-11-01,138381.0
1998-12-01,138634.0
1999-01-01,139003.0
1999-02-01,138967.0
1999-03-01,138730.0
1999-04-01,138959.0
1999-05-01,139107.0
1999-06-01,139329.0
1999-07-01,139439.0
1999-08-01,139430.0
1999-09-01,139622.0
1999-10-01,139771.0
1999-11-01,140025.0
1999-12-01,140177.0
2000-01-01,142267.0
2000-02-01,142456.0
2000-03-01,142434.0
2000-04-01,142751.0
2000-05-01,142388.0
2000-06-01,142591.0
2000-07-01,142278.0
2000-08-01,142514.0
2000-09-01,142518.0
2000-10-01,142622.0
2000-11-01,142962.0
2000-12-01,143248.0
2001-01-01,143800.0
2001-02-01,143701.0
2001-03-01,143924.0
2001-04-01,143569.0
2001-05-01,143318.0
2001-06-01,143357.0
2001-07-01,143654.0
2001-08-01,143284.0
2001-09-01,143989.0
2001-10-01,144086.0
2001-11-01,144240.0
2001-12-01,144305.0
2002-01-01,143883.0
2002-02-01,144653.0
2002-03-01,144481.0
2002-04-01,144725.0
2002-05-01,144938.0
2002-06-01,144808.0
2002-07-01,144803.0
2002-08-01,145009.0
2002-09-01,145552.0
2002-10-01,145314.0
2002-11-01,145041.0
2002-12-01,145066.0
2003-01-01,145937.0
2003-02-01,146100.0
2003-03-01,146022.0
2003-04-01,146474.0
2003-05-01,146500.0
2003-06-01,147056.0
2003-07-01,146485.0
2003-08-01,146445.0
2003-09-01,146530.0
2003-10-01,146716.0
2003-11-01,147000.0
2003-12-01,146729.0
2004-01-01,146842.0
2004-02-01,146709.0
2004-03-01,146944.0
2004-04-01,146850.0
2004-05-01,147065.0
2004-06-01,147460.0
2004-07-01,147692.0
2004-08-01,147564.0
2004-09-01,147415.0
2004-10-01,147793.0
2004-11-01,148162.0
2004-12-01,148059.0
2005-01-01,148029.0
2005-02-01,148364.0
2005-03-01,148391.0
2005-04-01,148926.0
2005-05-01,149261.0
2005-06-01,149238.0
2005-07-01,149432.0
2005-08-01,149779.0
2005-09-01,149954.0
2005-10-01,150001.0
2005-11-01,150065.0
2005-12-01,150030.0
2006-01-01,150214.0
2006-02-01,150641.0
2006-03-01,150813.0
2006-04-01,150881.0
2006-05-01,151069.0
2006-06-01,151354.0
2006-07-01,151377.0
2006-08-01,151716.0
2006-09-01,151662.0
2006-10-01,152041.0
2006-11-01,152406.0
2006-12-01,152732.0
2007-01-01,153144.0
2007-02-01,152983.0
2007-03-01,153051.0
2007-04-01,152435.0
2007-05-01,152670.0
2007-06-01,153041.0
2007-07-01,153054.0
2007-08-01,152749.0
