date,construction_employment
1990-01-01,5422.0
1990-02-01,5416.0
1990-03-01,5392.0
1990-04-01,5355.0
1990-05-01,5321.0
1990-06-01,5303.0
1990-07-01,5274.0
1990-08-01,5234.0
1990-09-01,5197.0
1990-10-01,5134.0
1990-11-01,5095.0
1990-12-01,5047.0
1991-01-01,4972.0
1991-02-01,4929.0
1991-03-01,4881.0
1991-04-01,4842.0
1991-05-01,4800.0
1991-06-01,4782.0
1991-07-01,4752.0
1991-08-01,4733.0
1991-09-01,4728.0
1991-10-01,4698.0
1991-11-01,4640.0
1991-12-01,4647.0
1992-01-01,4667.0
1992-02-01,4612.0
1992-03-01,4621.0
1992-04-01,4603.0
1992-05-01,4605.0
1992-06-01,4584.0
1992-07-01,4570.0
1992-08-01,4581.0
1992-09-01,4584.0
1992-10-01,4600.0
1992-11-01,4606.0
1992-12-01,4630.0
1993-01-01,4664.0
1993-02-01,4714.0
1993-03-01,4676.0
1993-04-01,4690.0
1993-05-01,4753.0
1993-06-01,4760.0
1993-07-01,4783.0
1993-08-01,4806.0
1993-09-01,4823.0
1993-10-01,4868.0
1993-11-01,4887.0
1993-12-01,4925.0
1994-01-01,4940.0
1994-02-01,4923.0
1994-03-01,4990.0
1994-04-01,5047.0
1994-05-01,5084.0
1994-06-01,5097.0
1994-07-01,5125.0
1994-08-01,5139.0
1994-09-01,5175.0
1994-10-01,5177.0
1994-11-01,5210.0
1994-12-01,5226.0
1995-01-01,5234.0
1995-02-01,5192.0
1995-03-01,5242.0
1995-04-01,5252.0
1995-05-01,5220.0
1995-06-01,5250.0
1995-07-01,5262.0
1995-08-01,5286.0
1995-09-01,5324.0
1995-10-01,5353.0
1995-11-01,5358.0
1995-12-01,5344.0
1996-01-01,5355.0
1996-02-01,5415.0
1996-03-01,5446.0
1996-04-01,5474.0
1996-05-01,5498.0
1996-06-01,5534.0
1996-07-01,5557.0
1996-08-01,5586.0
1996-09-01,5610.0
1996-10-01,5643.0
1996-11-01,5668.0
1996-12-01,5675.0
1997-01-01,5675.0
1997-02-01,5722.0
1997-03-01,5751.0
1997-04-01,5764.0
1997-05-01,5793.0
1997-06-01,5793.0
1997-07-01,5817.0
1997-08-01,5846.0
1997-09-01,5874.0
1997-10-01,5883.0
1997-11-01,5899.0
1997-12-01,5938.0
1998-01-01,5983.0
1998-02-01,5997.0
1998-03-01,5969.0
1998-04-01,6049.0
1998-05-01,6087.0
1998-06-01,6130.0
1998-07-01,6172.0
1998-08-01,6215.0
1998-09-01,6225.0
1998-10-01,6262.0
1998-11-01,6301.0
1998-12-01,6378.0
1999-01-01,6357.0
1999-02-01,6429.0
1999-03-01,6402.0
1999-04-01,6480.0
1999-05-01,6516.0
