date,employment_level
1990-01-01,119081.0
1990-02-01,119059.0
1990-03-01,119203.0
1990-04-01,118852.0
1990-05-01,119151.0
1990-06-01,118983.0
1990-07-01,118810.0
1990-08-01,118802.0
1990-09-01,118524.0
1990-10-01,118536.0
1990-11-01,118306.0
1990-12-01,118241.0
1991-01-01,117940.0
1991-02-01,117755.0
1991-03-01,117652.0
1991-04-01,118109.0
1991-05-01,117440.0
1991-06-01,117639.0
1991-07-01,117568.0
1991-08-01,117484.0
1991-09-01,117928.0
1991-10-01,117800.0
1991-11-01,117770.0
1991-12-01,117466.0
1992-01-01,117978.0
1992-02-01,117753.0
1992-03-01,118144.0
1992-04-01,118426.0
1992-05-01,118375.0
1992-06-01,118419.0
1992-07-01,118713.0
1992-08-01,118826.0
1992-09-01,118720.0
1992-10-01,118628.0
1992-11-01,118876.0
1992-12-01,118997.0
1993-01-01,119075.0
1993-02-01,119275.0
1993-03-01,119542.0
1993-04-01,119474.0
1993-05-01,120115.0
1993-06-01,120290.0
1993-07-01,120467.0
1993-08-01,120856.0
1993-09-01,120554.0
1993-10-01,120823.0
1993-11-01,121169.0
1993-12-01,121464.0
1994-01-01,121966.0
1994-02-01,122086.0
1994-03-01,121930.0
1994-04-01,122290.0
1994-05-01,122864.0
1994-06-01,122634.0
1994-07-01,122706.0
1994-08-01,123342.0
1994-09-01,123687.0
1994-10-01,124112.0
1994-11-01,124516.0
1994-12-01,124721.0
1995-01-01,124663.0
1995-02-01,124928.0
1995-03-01,124955.0
1995-04-01,124945.0
1995-05-01,124421.0
1995-06-01,124522.0
1995-07-01,124816.0
1995-08-01,124852.0
1995-09-01,125133.0
1995-10-01,125388.0
1995-11-01,125188.0
1995-12-01,125088.0
1996-01-01,125125.0
1996-02-01,125639.0
1996-03-01,125862.0
1996-04-01,125994.0
1996-05-01,126244.0
1996-06-01,126602.0
1996-07-01,126947.0
1996-08-01,127172.0
1996-09-01,127536.0
1996-10-01,127890.0
1996-11-01,127771.0
1996-12-01,127860.0
1997-01-01,128298.0
1997-02-01,128298.0
1997-03-01,128891.0
1997-04-01,129143.0
1997-05-01,129464.0
1997-06-01,129412.0
1997-07-01,129822.0
1997-08-01,130010.0
1997-09-01,130019.0
1997-10-01,130179.0
1997-11-01,130653.0
1997-12-01,130679.0
1998-01-01,130726.0
1998-02-01,130807.0
1998-03-01,130814.0
1998-04-01,131209.0
1998-05-01,131325.0
1998-06-01,131244.0
1998-07-01,131329.0
1998-08-01,131390.0
1998-09-01,131986.0
1998-10-01,131999.0
1998-11-01,132280.0
1998-12-01,132602.0
1999-01-01,133027.0
1999-02-01,132856.0
1999-03-01,132947.0
1999-04-01,132955.0
1999-05-01,133311.0
1999-06-01,133378.0
1999-07-01,133414.0
1999-08-01,133591.0
1999-09-01,133707.0
1999-10-01,133993.0
1999-11-01,134309.0
1999-12-01,134523.0
2000-01-01,136559.0
2000-02-01,136598.0
2000-03-01,136701.0
2000-04-01,137270.0
2000-05-01,136630.0
2000-06-01,136940.0
2000-07-01,136531.0
2000-08-01,136662.0
2000-09-01,136893.0
2000-10-01,137088.0
2000-11-01,137322.0
2000-12-01,137614.0
2001-01-01,137778.0
2001-02-01,137612.0
2001-03-01,137783.0
2001-04-01,137299.0
2001-05-01,137092.0
2001-06-01,136873.0
2001-07-01,137071.0
2001-08-01,136241.0
2001-09-01,136846.0
2001-10-01,136392.0
2001-11-01,136238.0
2001-12-01,136047.0
2002-01-01,135701.0
2002-02-01,136438.0
2002-03-01,136177.0
2002-04-01,136126.0
2002-05-01,136539.0
2002-06-01,136415.0
2002-07-01,136413.0
2002-08-01,136705.0
2002-09-01,137302.0
2002-10-01,137008.0
2002-11-01,136521.0
2002-12-01,136426.0
2003-01-01,137417.0
2003-02-01,137482.0
2003-03-01,137434.0
2003-04-01,137633.0
2003-05-01,137544.0
2003-06-01,137790.0
2003-07-01,137474.0
2003-08-01,137549.0
2003-09-01,137609.0
2003-10-01,137984.0
2003-11-01,138424.0
2003-12-01,138411.0
2004-01-01,138472.0
2004-02-01,138542.0
2004-03-01,138453.0
2004-04-01,138680.0
2004-05-01,138852.0
2004-06-01,139174.0
2004-07-01,139556.0
2004-08-01,139573.0
2004-09-01,139487.0
2004-10-01,139732.0
2004-11-01,140231.0
2004-12-01,140125.0
2005-01-01,140245.0
2005-02-01,140385.0
2005-03-01,140654.0
2005-04-01,141254.0
2005-05-01,141609.0
2005-06-01,141714.0
2005-07-01,142026.0
2005-08-01,142434.0
2005-09-01,142401.0
2005-10-01,142548.0
2005-11-01,142499.0
2005-12-01,142752.0
2006-01-01,143150.0
2006-02-01,143457.0
2006-03-01,143741.0
2006-04-01,143761.0
2006-05-01,144089.0
2006-06-01,144353.0
2006-07-01,144202.0
2006-08-01,144625.0
2006-09-01,144815.0
2006-10-01,145314.0
2006-11-01,145534.0
2006-12-01,145970.0
2007-01-01,146028.0
2007-02-01,146057.0
2007-03-01,146320.0
2007-04-01,145586.0
2007-05-01,145903.0
2007-06-01,146063.0
2007-07-01,145905.0
2007-08-01,145682.0
2007-09-01,146244.0
2007-10-01,145946.0
2007-11-01,146595.0
