date,job_openings
2000-12-01,5088.0
2001-01-01,5234.0
2001-02-01,5097.0
2001-03-01,4762.0
2001-04-01,4615.0
2001-05-01,4425.0
2001-06-01,4361.0
2001-07-01,4447.0
2001-08-01,4024.0
2001-09-01,4071.0
2001-10-01,3707.0
2001-11-01,3775.0
2001-12-01,3677.0
2002-01-01,3699.0
2002-02-01,3436.0
2002-03-01,3612.0
2002-04-01,3471.0
2002-05-01,3457.0
2002-06-01,3412.0
2002-07-01,3367.0
2002-08-01,3517.0
2002-09-01,3301.0
2002-10-01,3479.0
2002-11-01,3514.0
2002-12-01,3169.0
2003-01-01,3441.0
2003-02-01,3229.0
2003-03-01,3099.0
2003-04-01,3108.0
2003-05-01,3289.0
2003-06-01,3390.0
2003-07-01,2981.0
2003-08-01,3190.0
2003-09-01,3091.0
2003-10-01,3305.0
2003-11-01,3324.0
2003-12-01,3414.0
2004-01-01,3424.0
2004-02-01,3532.0
2004-03-01,3525.0
2004-04-01,3511.0
2004-05-01,3710.0
2004-06-01,3337.0
2004-07-01,3814.0
2004-08-01,3541.0
2004-09-01,3821.0
2004-10-01,3943.0
2004-11-01,3472.0
2004-12-01,4074.0
2005-01-01,3804.0
2005-02-01,3965.0
2005-03-01,4044.0
2005-04-01,4159.0
2005-05-01,3797.0
2005-06-01,4062.0
2005-07-01,4256.0
2005-08-01,4142.0
2005-09-01,4352.0
2005-10-01,4184.0
2005-11-01,4248.0
2005-12-01,4282.0
2006-01-01,4397.0
2006-02-01,4325.0
2006-03-01,4732.0
2006-04-01,4790.0
2006-05-01,4463.0
2006-06-01,4614.0
2006-07-01,4394.0
2006-08-01,4710.0
2006-09-01,4737.0
2006-10-01,4591.0
2006-11-01,4645.0
2006-12-01,4620.0
2007-01-01,4763.0
2007-02-01,4699.0
2007-03-01,4962.0
2007-04-01,4689.0
2007-05-01,4657.0
2007-06-01,4859.0
2007-07-01,4598.0
2007-08-01,4546.0
2007-09-01,4652.0
2007-10-01,4636.0
2007-11-01,4646.0
2007-12-01,4545.0
2008-01-01,4624.0
2008-02-01,4279.0
2008-03-01,4225.0
2008-04-01,4035.0
2008-05-01,4194.0
2008-06-01,3830.0
2008-07-01,3749.0
2008-08-01,3674.0
2008-09-01,3222.0
2008-10-01,3377.0
2008-11-01,3231.0
2008-12-01,3146.0
2009-01-01,2738.0
2009-02-01,2864.0
2009-03-01,2534.0
2009-04-01,2295.0
2009-05-01,2549.0
2009-06-01,2503.0
2009-07-01,2232.0
2009-08-01,2338.0
2009-09-01,2487.0
2009-10-01,2406.0
2009-11-01,2503.0
2009-12-01,2568.0
