date,total_nonfarm_employment
1990-01-01,109196.0
1990-02-01,109436.0
1990-03-01,109640.0
1990-04-01,109674.0
1990-05-01,109828.0
1990-06-01,109850.0
1990-07-01,109815.0
1990-08-01,109607.0
1990-09-01,109522.0
1990-10-01,109377.0
1990-11-01,109222.0
1990-12-01,109168.0
1991-01-01,109058.0
1991-02-01,108735.0
1991-03-01,108568.0
1991-04-01,108350.0
1991-05-01,108253.0
1991-06-01,108330.0
1991-07-01,108290.0
1991-08-01,108300.0
1991-09-01,108335.0
1991-10-01,108361.0
1991-11-01,108300.0
1991-12-01,108330.0
1992-01-01,108365.0
1992-02-01,108312.0
1992-03-01,108367.0
1992-04-01,108516.0
1992-05-01,108646.0
1992-06-01,108706.0
1992-07-01,108793.0
1992-08-01,108916.0
1992-09-01,108951.0
1992-10-01,109139.0
1992-11-01,109283.0
1992-12-01,109502.0
1993-01-01,109790.0
1993-02-01,110047.0
1993-03-01,110004.0
1993-04-01,110300.0
1993-05-01,110571.0
1993-06-01,110742.0
1993-07-01,111054.0
1993-08-01,111200.0
1993-09-01,111448.0
1993-10-01,111734.0
1993-11-01,111987.0
1993-12-01,112325.0
1994-01-01,112601.0
1994-02-01,112782.0
1994-03-01,113245.0
1994-04-01,113589.0
1994-05-01,113922.0
1994-06-01,114239.0
1994-07-01,114608.0
1994-08-01,114902.0
1994-09-01,115246.0
1994-10-01,115457.0
1994-11-01,115867.0
1994-12-01,116174.0
1995-01-01,116505.0
1995-02-01,116694.0
1995-03-01,116908.0
1995-04-01,117066.0
1995-05-01,117046.0
1995-06-01,117291.0
1995-07-01,117382.0
1995-08-01,117646.0
1995-09-01,117873.0
1995-10-01,118026.0
1995-11-01,118165.0
1995-12-01,118325.0
1996-01-01,118317.0
1996-02-01,118738.0
1996-03-01,118992.0
1996-04-01,119158.0
1996-05-01,119497.0
1996-06-01,119770.0
1996-07-01,120019.0
1996-08-01,120198.0
1996-09-01,120400.0
1996-10-01,120665.0
1996-11-01,120947.0
1996-12-01,121143.0
