date,total_private_employment
1990-01-01,91045.0
1990-02-01,91259.0
1990-03-01,91346.0
1990-04-01,91297.0
1990-05-01,91229.0
1990-06-01,91294.0
1990-07-01,91255.0
1990-08-01,91150.0
1990-09-01,91085.0
1990-10-01,90934.0
1990-11-01,90772.0
1990-12-01,90700.0
1991-01-01,90584.0
1991-02-01,90253.0
1991-03-01,90080.0
1991-04-01,89865.0
1991-05-01,89755.0
1991-06-01,89769.0
1991-07-01,89692.0
1991-08-01,89733.0
1991-09-01,89792.0
1991-10-01,89768.0
1991-11-01,89673.0
1991-12-01,89689.0
1992-01-01,89677.0
1992-02-01,89623.0
1992-03-01,89652.0
1992-04-01,89777.0
1992-05-01,89893.0
1992-06-01,89944.0
1992-07-01,89976.0
1992-08-01,90033.0
1992-09-01,90122.0
1992-10-01,90311.0
1992-11-01,90442.0
1992-12-01,90624.0
1993-01-01,90889.0
1993-02-01,91145.0
1993-03-01,91097.0
1993-04-01,91362.0
1993-05-01,91620.0
1993-06-01,91773.0
1993-07-01,91994.0
1993-08-01,92172.0
1993-09-01,92407.0
1993-10-01,92692.0
1993-11-01,92919.0
1993-12-01,93216.0
1994-01-01,93454.0
1994-02-01,93632.0
1994-03-01,94055.0
1994-04-01,94366.0
1994-05-01,94658.0
1994-06-01,94965.0
1994-07-01,95307.0
1994-08-01,95596.0
1994-09-01,95909.0
1994-10-01,96113.0
1994-11-01,96500.0
1994-12-01,96786.0
1995-01-01,97108.0
1995-02-01,97287.0
1995-03-01,97481.0
1995-04-01,97632.0
1995-05-01,97628.0
1995-06-01,97846.0
1995-07-01,97945.0
1995-08-01,98217.0
1995-09-01,98443.0
1995-10-01,98562.0
1995-11-01,98702.0
1995-12-01,98859.0
1996-01-01,98867.0
1996-02-01,99253.0
1996-03-01,99460.0
1996-04-01,99643.0
1996-05-01,99968.0
1996-06-01,100242.0
1996-07-01,100472.0
1996-08-01,100694.0
1996-09-01,100833.0
1996-10-01,101111.0
1996-11-01,101382.0
1996-12-01,101572.0
1997-01-01,101763.0
1997-02-01,102075.0
1997-03-01,102383.0
1997-04-01,102686.0
1997-05-01,102959.0
1997-06-01,103156.0
1997-07-01,103428.0
1997-08-01,103470.0
1997-09-01,103896.0
1997-10-01,104186.0
1997-11-01,104464.0
1997-12-01,104783.0
1998-01-01,105036.0
1998-02-01,105231.0
1998-03-01,105373.0
1998-04-01,105629.0
1998-05-01,105970.0
1998-06-01,106197.0
1998-07-01,106282.0
1998-08-01,106587.0
1998-09-01,106759.0
1998-10-01,106948.0
1998-11-01,107178.0
1998-12-01,107516.0
1999-01-01,107615.0
1999-02-01,107973.0
1999-03-01,108066.0
1999-04-01,108358.0
1999-05-01,108584.0
1999-06-01,108812.0
1999-07-01,109083.0
1999-08-01,109197.0
1999-09-01,109367.0
1999-10-01,109721.0
1999-11-01,109970.0
1999-12-01,110243.0
2000-01-01,110440.0
2000-02-01,110521.0
2000-03-01,110871.0
2000-04-01,111082.0
2000-05-01,110958.0
2000-06-01,111176.0
2000-07-01,111361.0
2000-08-01,111397.0
2000-09-01,111602.0
2000-10-01,111609.0
2000-11-01,111796.0
2000-12-01,111912.0
2001-01-01,111868.0
2001-02-01,111882.0
2001-03-01,111806.0
2001-04-01,111466.0
2001-05-01,111379.0
2001-06-01,111163.0
2001-07-01,110987.0
2001-08-01,110803.0
2001-09-01,110521.0
2001-10-01,110177.0
2001-11-01,109818.0
2001-12-01,109628.0
2002-01-01,109482.0
2002-02-01,109347.0
2002-03-01,109291.0
2002-04-01,109173.0
2002-05-01,109118.0
2002-06-01,109125.0
2002-07-01,109040.0
2002-08-01,108992.0
2002-09-01,108956.0
2002-10-01,109058.0
2002-11-01,109035.0
2002-12-01,108877.0
2003-01-01,108947.0
2003-02-01,108817.0
2003-03-01,108625.0
2003-04-01,108578.0
2003-05-01,108630.0
2003-06-01,108580.0
2003-07-01,108551.0
2003-08-01,108597.0
2003-09-01,108748.0
2003-10-01,108881.0
2003-11-01,108945.0
2003-12-01,109043.0
2004-01-01,109218.0
2004-02-01,109271.0
2004-03-01,109552.0
2004-04-01,109798.0
2004-05-01,110083.0
2004-06-01,110193.0
2004-07-01,110248.0
